review_id,emp_id,review_year,rating,manager_comment
267,134,2022,5,"Below expectations, requires coaching"
268,134,2023,5,Outstanding performance this year
269,135,2022,4,Outstanding performance this year
270,135,2023,5,Consistently delivers high-quality work
271,136,2022,4,"Good technical skills, improve soft skills"
272,136,2023,4,"Meets expectations, room to grow"
273,137,2022,1,"Meets expectations, room to grow"
274,137,2023,3,Outstanding performance this year
275,138,2022,4,Excellent team player and communicator
276,138,2023,3,Needs improvement in time management
277,139,2022,5,Struggles with deadlines occasionally
278,139,2023,4,Excellent team player and communicator
279,140,2022,1,"Good technical skills, improve soft skills"
280,140,2023,4,"Below expectations, requires coaching"
281,141,2022,4,Excellent team player and communicator
282,141,2023,3,"Meets expectations, room to grow"
283,142,2022,4,Needs improvement in time management
284,142,2023,3,Great initiative and problem-solving skills
285,143,2022,3,Struggles with deadlines occasionally
286,143,2023,4,"Below expectations, requires coaching"
287,144,2022,4,Great initiative and problem-solving skills
288,144,2023,3,Outstanding performance this year
289,145,2022,3,Excellent team player and communicator
290,145,2023,3,Needs improvement in time management
291,146,2022,1,"Below expectations, requires coaching"
292,146,2023,2,Highly motivated and reliable
293,147,2022,1,Struggles with deadlines occasionally
294,147,2023,5,Needs improvement in time management
295,148,2022,3,"Below expectations, requires coaching"
296,148,2023,4,"Good technical skills, improve soft skills"
297,149,2022,4,"Meets expectations, room to grow"
298,149,2023,3,Outstanding performance this year
299,150,2022,3,Excellent team player and communicator
300,150,2023,4,Outstanding performance this year
301,151,2022,5,Excellent team player and communicator
302,151,2023,4,Consistently delivers high-quality work
303,152,2022,3,Great initiative and problem-solving skills
304,152,2023,4,Excellent team player and communicator
305,153,2022,2,"Meets expectations, room to grow"
306,153,2023,3,Highly motivated and reliable
307,154,2022,4,"Below expectations, requires coaching"
308,154,2023,5,Struggles with deadlines occasionally
309,155,2022,4,Great initiative and problem-solving skills
310,155,2023,5,Consistently delivers high-quality work
311,156,2022,2,Highly motivated and reliable
312,156,2023,2,Excellent team player and communicator
313,157,2022,5,Highly motivated and reliable
314,157,2023,3,Highly motivated and reliable
315,158,2022,4,Needs improvement in time management
316,158,2023,5,"Below expectations, requires coaching"
317,159,2022,3,Outstanding performance this year
318,159,2023,4,Excellent team player and communicator
319,160,2022,3,Highly motivated and reliable
320,160,2023,4,Struggles with deadlines occasionally
321,161,2022,5,Consistently delivers high-quality work
322,161,2023,4,"Good technical skills, improve soft skills"
323,162,2022,4,Struggles with deadlines occasionally
324,162,2023,5,"Good technical skills, improve soft skills"
325,163,2022,5,"Meets expectations, room to grow"
326,163,2023,5,Needs improvement in time management
327,164,2022,5,"Meets expectations, room to grow"
328,164,2023,4,"Below expectations, requires coaching"
329,165,2022,2,"Good technical skills, improve soft skills"
330,165,2023,3,Highly motivated and reliable
331,166,2022,3,Needs improvement in time management
332,166,2023,3,"Below expectations, requires coaching"
333,167,2022,4,Needs improvement in time management
334,167,2023,3,Consistently delivers high-quality work
335,168,2022,4,Consistently delivers high-quality work
336,168,2023,3,Highly motivated and reliable
337,169,2022,3,Consistently delivers high-quality work
338,169,2023,3,Excellent team player and communicator
339,170,2022,3,Struggles with deadlines occasionally
340,170,2023,4,"Meets expectations, room to grow"
341,171,2022,5,Highly motivated and reliable
342,171,2023,4,Excellent team player and communicator
343,172,2022,2,"Below expectations, requires coaching"
344,172,2023,4,Excellent team player and communicator
345,173,2022,5,Needs improvement in time management
346,173,2023,3,Consistently delivers high-quality work
347,174,2022,4,"Good technical skills, improve soft skills"
348,174,2023,4,Great initiative and problem-solving skills
349,175,2022,3,Struggles with deadlines occasionally
350,175,2023,5,Struggles with deadlines occasionally
351,176,2022,5,"Meets expectations, room to grow"
352,176,2023,4,Needs improvement in time management
353,177,2022,2,Highly motivated and reliable
354,177,2023,5,Needs improvement in time management
355,178,2022,5,Excellent team player and communicator
356,178,2023,5,Outstanding performance this year
357,179,2022,5,"Below expectations, requires coaching"
358,179,2023,5,Excellent team player and communicator
359,180,2022,5,Great initiative and problem-solving skills
360,180,2023,4,"Below expectations, requires coaching"
361,181,2022,4,Consistently delivers high-quality work
362,181,2023,3,Excellent team player and communicator
363,182,2022,5,Outstanding performance this year
364,182,2023,3,"Below expectations, requires coaching"
365,183,2022,4,Excellent team player and communicator
366,183,2023,5,"Good technical skills, improve soft skills"
367,184,2022,2,Consistently delivers high-quality work
368,184,2023,3,Great initiative and problem-solving skills
369,185,2022,4,Great initiative and problem-solving skills
370,185,2023,2,Highly motivated and reliable
371,186,2022,3,Outstanding performance this year
372,186,2023,3,Consistently delivers high-quality work
373,187,2022,2,Excellent team player and communicator
374,187,2023,3,"Meets expectations, room to grow"
375,188,2022,3,Consistently delivers high-quality work
376,188,2023,5,"Below expectations, requires coaching"
377,189,2022,4,Outstanding performance this year
378,189,2023,3,Needs improvement in time management
379,190,2022,4,Struggles with deadlines occasionally
380,190,2023,4,Outstanding performance this year
381,191,2022,5,"Meets expectations, room to grow"
382,191,2023,4,Highly motivated and reliable
383,192,2022,4,Consistently delivers high-quality work
384,192,2023,3,Consistently delivers high-quality work
385,193,2022,4,"Below expectations, requires coaching"
386,193,2023,1,Consistently delivers high-quality work
387,194,2022,3,Struggles with deadlines occasionally
388,194,2023,5,Highly motivated and reliable
389,195,2022,3,Struggles with deadlines occasionally
390,195,2023,5,Highly motivated and reliable
391,196,2022,3,Outstanding performance this year
392,196,2023,5,Struggles with deadlines occasionally
393,197,2022,4,Needs improvement in time management
394,197,2023,5,"Meets expectations, room to grow"
395,198,2022,3,Excellent team player and communicator
396,198,2023,4,Great initiative and problem-solving skills
397,199,2022,5,Great initiative and problem-solving skills
398,199,2023,4,Needs improvement in time management
399,200,2022,3,Needs improvement in time management
400,200,2023,2,Excellent team player and communicator
401,201,2022,5,Consistently delivers high-quality work
402,201,2023,4,Struggles with deadlines occasionally
403,202,2022,3,"Meets expectations, room to grow"
404,202,2023,4,Excellent team player and communicator
405,203,2022,3,Struggles with deadlines occasionally
406,203,2023,3,"Meets expectations, room to grow"
407,204,2022,2,Struggles with deadlines occasionally
408,204,2023,4,Highly motivated and reliable
409,205,2022,3,Struggles with deadlines occasionally
410,205,2023,4,"Good technical skills, improve soft skills"
411,206,2022,3,Needs improvement in time management
412,206,2023,4,Excellent team player and communicator
413,207,2022,2,"Below expectations, requires coaching"
414,207,2023,3,Consistently delivers high-quality work
415,208,2022,2,Excellent team player and communicator
416,208,2023,1,Struggles with deadlines occasionally
417,209,2022,3,Excellent team player and communicator
418,209,2023,4,Highly motivated and reliable
419,210,2022,5,"Below expectations, requires coaching"
420,210,2023,3,Excellent team player and communicator
421,211,2022,3,"Good technical skills, improve soft skills"
422,211,2023,4,Needs improvement in time management
423,212,2022,5,Needs improvement in time management
424,212,2023,3,Struggles with deadlines occasionally
425,213,2022,4,Great initiative and problem-solving skills
426,213,2023,3,Consistently delivers high-quality work
427,214,2022,3,Excellent team player and communicator
428,214,2023,3,Struggles with deadlines occasionally
429,215,2022,4,"Below expectations, requires coaching"
430,215,2023,3,Consistently delivers high-quality work
431,216,2022,2,Consistently delivers high-quality work
432,216,2023,2,Excellent team player and communicator
433,217,2022,3,Highly motivated and reliable
434,217,2023,4,"Good technical skills, improve soft skills"
435,218,2022,3,Highly motivated and reliable
436,218,2023,4,Struggles with deadlines occasionally
437,219,2022,4,Needs improvement in time management
438,219,2023,4,Consistently delivers high-quality work
439,220,2022,4,"Below expectations, requires coaching"
440,220,2023,1,Struggles with deadlines occasionally
441,221,2022,4,Consistently delivers high-quality work
442,221,2023,4,Consistently delivers high-quality work
443,222,2022,4,"Meets expectations, room to grow"
444,222,2023,5,Excellent team player and communicator
445,223,2022,3,"Meets expectations, room to grow"
446,223,2023,4,Consistently delivers high-quality work
447,224,2022,1,Great initiative and problem-solving skills
448,224,2023,3,Struggles with deadlines occasionally
449,225,2022,3,Great initiative and problem-solving skills
450,225,2023,3,Needs improvement in time management
451,226,2022,3,Excellent team player and communicator
452,226,2023,2,Struggles with deadlines occasionally
453,227,2022,2,Excellent team player and communicator
454,227,2023,3,Excellent team player and communicator
455,228,2022,4,Great initiative and problem-solving skills
456,228,2023,3,Consistently delivers high-quality work
457,229,2022,4,"Below expectations, requires coaching"
458,229,2023,5,Great initiative and problem-solving skills
459,230,2022,3,Consistently delivers high-quality work
460,230,2023,1,Needs improvement in time management
461,231,2022,2,"Meets expectations, room to grow"
462,231,2023,4,Highly motivated and reliable
463,232,2022,5,Outstanding performance this year
464,232,2023,4,Outstanding performance this year
465,233,2022,5,Needs improvement in time management
466,233,2023,3,Great initiative and problem-solving skills
467,234,2022,4,"Below expectations, requires coaching"
468,234,2023,3,Needs improvement in time management
469,235,2022,4,"Meets expectations, room to grow"
470,235,2023,3,"Meets expectations, room to grow"
471,236,2022,3,Needs improvement in time management
472,236,2023,2,Struggles with deadlines occasionally
473,237,2022,5,Needs improvement in time management
474,237,2023,4,"Meets expectations, room to grow"
475,238,2022,4,Consistently delivers high-quality work
476,238,2023,2,Outstanding performance this year
477,239,2022,5,Struggles with deadlines occasionally
478,239,2023,3,"Below expectations, requires coaching"
479,240,2022,2,Great initiative and problem-solving skills
480,240,2023,3,Needs improvement in time management
481,241,2022,4,Excellent team player and communicator
482,241,2023,4,Highly motivated and reliable
483,242,2022,3,Consistently delivers high-quality work
484,242,2023,5,Highly motivated and reliable
485,243,2022,4,Highly motivated and reliable
486,243,2023,4,"Below expectations, requires coaching"
487,244,2022,4,Great initiative and problem-solving skills
488,244,2023,5,"Below expectations, requires coaching"
489,245,2022,3,Outstanding performance this year
490,245,2023,3,Outstanding performance this year
491,246,2022,4,Excellent team player and communicator
492,246,2023,3,Outstanding performance this year
493,247,2022,5,Needs improvement in time management
494,247,2023,3,Excellent team player and communicator
495,248,2022,5,Struggles with deadlines occasionally
496,248,2023,4,Struggles with deadlines occasionally
497,249,2022,2,Great initiative and problem-solving skills
498,249,2023,1,Needs improvement in time management
499,250,2022,5,"Meets expectations, room to grow"
500,250,2023,4,Excellent team player and communicator
501,251,2022,5,"Below expectations, requires coaching"
502,251,2023,4,"Good technical skills, improve soft skills"
503,252,2022,4,Needs improvement in time management
504,252,2023,2,"Good technical skills, improve soft skills"
505,253,2022,4,Needs improvement in time management
506,253,2023,3,Consistently delivers high-quality work
507,254,2022,5,Excellent team player and communicator
508,254,2023,3,"Below expectations, requires coaching"
509,255,2022,4,Consistently delivers high-quality work
510,255,2023,3,"Below expectations, requires coaching"
511,256,2022,3,Great initiative and problem-solving skills
512,256,2023,1,"Below expectations, requires coaching"
513,257,2022,2,Needs improvement in time management
514,257,2023,1,Excellent team player and communicator
515,258,2022,4,Struggles with deadlines occasionally
516,258,2023,2,"Meets expectations, room to grow"
517,259,2022,1,Great initiative and problem-solving skills
518,259,2023,2,Struggles with deadlines occasionally
519,260,2022,5,Excellent team player and communicator
520,260,2023,5,Struggles with deadlines occasionally
521,261,2022,4,"Meets expectations, room to grow"
522,261,2023,4,Outstanding performance this year
523,262,2022,3,"Below expectations, requires coaching"
524,262,2023,4,Great initiative and problem-solving skills
525,263,2022,4,"Good technical skills, improve soft skills"
526,263,2023,4,Great initiative and problem-solving skills
527,264,2022,5,Great initiative and problem-solving skills
528,264,2023,4,"Meets expectations, room to grow"
529,265,2022,3,Needs improvement in time management
530,265,2023,3,Struggles with deadlines occasionally
531,266,2022,3,Consistently delivers high-quality work
532,266,2023,3,Great initiative and problem-solving skills
533,267,2022,2,Consistently delivers high-quality work
534,267,2023,5,Great initiative and problem-solving skills
535,268,2022,3,Highly motivated and reliable
536,268,2023,4,Highly motivated and reliable
537,269,2022,2,"Meets expectations, room to grow"
538,269,2023,3,"Meets expectations, room to grow"
539,270,2022,5,Consistently delivers high-quality work
540,270,2023,3,"Meets expectations, room to grow"
541,271,2022,4,"Good technical skills, improve soft skills"
542,271,2023,4,Outstanding performance this year
543,272,2022,3,"Good technical skills, improve soft skills"
544,272,2023,5,Outstanding performance this year
545,273,2022,1,Outstanding performance this year
546,273,2023,3,Struggles with deadlines occasionally
547,274,2022,3,Struggles with deadlines occasionally
548,274,2023,3,"Good technical skills, improve soft skills"
549,275,2022,4,Outstanding performance this year
550,275,2023,4,Needs improvement in time management
551,276,2022,5,Outstanding performance this year
552,276,2023,5,"Meets expectations, room to grow"
553,277,2022,3,"Below expectations, requires coaching"
554,277,2023,5,Excellent team player and communicator
555,278,2022,4,Highly motivated and reliable
556,278,2023,4,Needs improvement in time management
557,279,2022,3,Consistently delivers high-quality work
558,279,2023,4,Highly motivated and reliable
559,280,2022,5,Excellent team player and communicator
560,280,2023,4,Needs improvement in time management
561,281,2022,3,Highly motivated and reliable
562,281,2023,2,Highly motivated and reliable
563,282,2022,2,Great initiative and problem-solving skills
564,282,2023,5,"Below expectations, requires coaching"
565,283,2022,3,Highly motivated and reliable
566,283,2023,5,Excellent team player and communicator
567,284,2022,3,Struggles with deadlines occasionally
568,284,2023,4,Outstanding performance this year
569,285,2022,3,Consistently delivers high-quality work
570,285,2023,4,Excellent team player and communicator
571,286,2022,3,"Below expectations, requires coaching"
572,286,2023,5,"Below expectations, requires coaching"
573,287,2022,5,Struggles with deadlines occasionally
574,287,2023,5,Excellent team player and communicator
575,288,2022,2,Great initiative and problem-solving skills
576,288,2023,3,"Meets expectations, room to grow"
577,289,2022,4,"Good technical skills, improve soft skills"
578,289,2023,4,"Below expectations, requires coaching"
579,290,2022,4,Excellent team player and communicator
580,290,2023,5,"Meets expectations, room to grow"
581,291,2022,4,"Good technical skills, improve soft skills"
582,291,2023,3,Excellent team player and communicator
583,292,2022,5,Excellent team player and communicator
584,292,2023,4,Outstanding performance this year
585,293,2022,4,Great initiative and problem-solving skills
586,293,2023,3,Struggles with deadlines occasionally
587,294,2022,2,Highly motivated and reliable
588,294,2023,4,"Meets expectations, room to grow"
589,295,2022,3,Highly motivated and reliable
590,295,2023,2,Excellent team player and communicator
591,296,2022,3,Great initiative and problem-solving skills
592,296,2023,5,Great initiative and problem-solving skills
593,297,2022,4,Needs improvement in time management
594,297,2023,3,Highly motivated and reliable
595,298,2022,2,"Below expectations, requires coaching"
596,298,2023,4,Struggles with deadlines occasionally
597,299,2022,2,"Below expectations, requires coaching"
598,299,2023,4,Needs improvement in time management
599,300,2022,3,Needs improvement in time management
600,300,2023,5,"Good technical skills, improve soft skills"
601,301,2022,3,Excellent team player and communicator
602,301,2023,3,Highly motivated and reliable
603,302,2022,2,"Meets expectations, room to grow"
604,302,2023,5,Struggles with deadlines occasionally
605,303,2022,5,Excellent team player and communicator
606,303,2023,3,Highly motivated and reliable
607,304,2022,3,Consistently delivers high-quality work
608,304,2023,3,Excellent team player and communicator
609,305,2022,4,Needs improvement in time management
610,305,2023,5,"Good technical skills, improve soft skills"
611,306,2022,4,Great initiative and problem-solving skills
612,306,2023,3,"Meets expectations, room to grow"
613,307,2022,3,"Good technical skills, improve soft skills"
614,307,2023,3,"Meets expectations, room to grow"
615,308,2022,4,"Meets expectations, room to grow"
616,308,2023,5,"Meets expectations, room to grow"
617,309,2022,3,"Below expectations, requires coaching"
618,309,2023,3,"Good technical skills, improve soft skills"
619,310,2022,4,Consistently delivers high-quality work
620,310,2023,3,Highly motivated and reliable
621,311,2022,4,Great initiative and problem-solving skills
622,311,2023,3,Struggles with deadlines occasionally
623,312,2022,2,Excellent team player and communicator
624,312,2023,2,Struggles with deadlines occasionally
625,313,2022,4,Consistently delivers high-quality work
626,313,2023,3,"Meets expectations, room to grow"
627,314,2022,1,Great initiative and problem-solving skills
628,314,2023,5,Excellent team player and communicator
629,315,2022,5,Highly motivated and reliable
630,315,2023,5,"Good technical skills, improve soft skills"
631,316,2022,4,Highly motivated and reliable
632,316,2023,5,Great initiative and problem-solving skills
633,317,2022,2,Consistently delivers high-quality work
634,317,2023,3,"Below expectations, requires coaching"
635,318,2022,2,Needs improvement in time management
636,318,2023,4,"Good technical skills, improve soft skills"
637,319,2022,4,Outstanding performance this year
638,319,2023,4,"Meets expectations, room to grow"
639,320,2022,3,Outstanding performance this year
640,320,2023,4,Consistently delivers high-quality work
641,321,2022,4,Consistently delivers high-quality work
642,321,2023,5,Consistently delivers high-quality work
